# Columns: x  m_tilde  y(=rho/rho_*)  compactness(=m/x)  Phi
# y_c_crit = 9.999992e+03
# Status: x_max
1.000000e-05  9.999992e-12  9.999972e+03  9.999992e-07  0.000000e+00
1.010000e-05  1.030300e-11  9.999971e+03  1.020099e-06  2.009996e-08
1.020100e-05  1.061519e-11  9.999971e+03  1.040603e-06  4.060393e-08
1.030301e-05  1.093684e-11  9.999971e+03  1.061519e-06  6.152003e-08
1.040604e-05  1.126824e-11  9.999970e+03  1.082855e-06  8.285654e-08
1.051010e-05  1.160967e-11  9.999970e+03  1.104621e-06  1.046219e-07
1.061520e-05  1.196146e-11  9.999969e+03  1.126824e-06  1.268248e-07
1.072135e-05  1.232390e-11  9.999969e+03  1.149473e-06  1.494739e-07
1.082857e-05  1.269733e-11  9.999968e+03  1.172577e-06  1.725783e-07
1.093685e-05  1.308207e-11  9.999968e+03  1.196146e-06  1.961471e-07
1.104622e-05  1.347847e-11  9.999967e+03  1.220188e-06  2.201896e-07
1.115668e-05  1.388688e-11  9.999967e+03  1.244714e-06  2.447153e-07
1.126825e-05  1.430766e-11  9.999966e+03  1.269732e-06  2.697340e-07
1.138093e-05  1.474120e-11  9.999966e+03  1.295254e-06  2.952556e-07
1.149474e-05  1.518787e-11  9.999965e+03  1.321288e-06  3.212902e-07
1.160969e-05  1.564807e-11  9.999965e+03  1.347846e-06  3.478481e-07
1.172578e-05  1.612222e-11  9.999964e+03  1.374938e-06  3.749398e-07
1.184304e-05  1.661074e-11  9.999964e+03  1.402574e-06  4.025760e-07
1.196147e-05  1.711406e-11  9.999963e+03  1.430766e-06  4.307677e-07
1.208109e-05  1.763263e-11  9.999963e+03  1.459524e-06  4.595261e-07
1.220190e-05  1.816692e-11  9.999962e+03  1.488860e-06  4.888625e-07
1.232392e-05  1.871739e-11  9.999961e+03  1.518786e-06  5.187885e-07
1.244716e-05  1.928455e-11  9.999961e+03  1.549314e-06  5.493161e-07
1.257163e-05  1.986889e-11  9.999960e+03  1.580455e-06  5.804573e-07
1.269734e-05  2.047093e-11  9.999960e+03  1.612222e-06  6.122244e-07
1.282432e-05  2.109122e-11  9.999959e+03  1.644627e-06  6.446300e-07
1.295256e-05  2.173030e-11  9.999958e+03  1.677684e-06  6.776870e-07
1.308208e-05  2.238875e-11  9.999958e+03  1.711405e-06  7.114084e-07
1.321290e-05  2.306715e-11  9.999957e+03  1.745804e-06  7.458076e-07
1.334503e-05  2.376610e-11  9.999956e+03  1.780895e-06  7.808982e-07
1.347848e-05  2.448624e-11  9.999955e+03  1.816691e-06  8.166942e-07
