# sim004_yukawa_overlap — datos para gráficas
#
# SECTION 1: ξ_loc(d_LR/ℓ_s) gaussiano vs analítico
# d_LR/ℓ_s    ξ_num         ξ_anal        err
  0.0000  1.000000e+00  1.000000e+00    2.1342e-11
  0.5000  9.394131e-01  9.394131e-01    2.0953e-10
  1.0000  7.788008e-01  7.788008e-01    1.3301e-09
  1.5000  5.697828e-01  5.697828e-01    5.7491e-09
  2.0000  3.678794e-01  3.678794e-01    1.7645e-08
  3.0000  1.053992e-01  1.053992e-01    6.7762e-08
  4.0000  1.831555e-02  1.831564e-02    9.2342e-08
  5.0000  1.930403e-03  1.930454e-03    5.1264e-08
  6.0000  1.233970e-04  1.234098e-04    1.2766e-08
  7.0000  4.783590e-06  4.785117e-06    1.5276e-09
  8.0000  1.124428e-07  1.125352e-07    9.2360e-11

# SECTION 2: ξ_loc(d_LR/ℓ_s) exponencial
# d_LR/ℓ_s    ξ_num         log10(ξ)
  0.0000  9.962597e-01       -0.0016
  0.5000  9.573127e-01       -0.0189
  1.0000  8.572081e-01       -0.0669
  2.0000  5.851233e-01       -0.2328
  3.0000  3.482872e-01       -0.4581
  4.0000  1.890254e-01       -0.7235
  5.0000  9.647191e-02       -1.0156
  7.0000  2.216664e-02       -1.6543
 10.0000  2.011679e-03       -2.6964

# SECTION 3: ξ_loc vs σ (top, d=0)
# σ          ξ_loc         desv
  0.0000  1.000000e+00      0.0000
  0.0500  9.939204e-01      0.0110
  0.1000  9.878408e-01      0.0221
  0.2000  9.756816e-01      0.0442
  0.3000  9.635224e-01      0.0662
  0.5000  9.392041e-01      0.1104
  1.0000  8.784082e-01      0.2208

# SECTION 4: ξ_loc vs ℓ_s (top, d=0): gauss y exp
# ℓ_s/ℓ_P    ξ_gauss       ξ_exp
  0.5000  1.000000e+00  9.934294e-01
  0.7000  1.000000e+00  9.934294e-01
  1.0000  1.000000e+00  9.934294e-01
  1.5000  1.000000e+00  9.934294e-01
  2.0000  1.000000e+00  9.934294e-01
  3.0000  1.000000e+00  9.934294e-01
